school_type, address_postcode,school_name, postal_address_line_1, school_status, postal_town, address_state, postal_postcode, lga_code, lga_name, address_line_1, postal_state, school_no, address_town, education_sector, full_phone_no, objectid
Secondary,3187,Brighton Secondary College ,120 Marriage Road,O,EAST BRIGHTON,VIC,3187,20910,Bayside (C),120 Marriage Road,VIC,7650,Brighton East,Government,03 9592 7488 ,1261
Secondary,3040,Buckley Park College ,Cooper Street,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),Cooper Street,VIC,7670,Essendon ,Government,03 9331 9999 ,1263
Secondary,3126,Camberwell High School,Prospect Hill Road,O,CANTERBURY,VIC,3126,21110,Boroondara (C),Prospect Hill Road,VIC,7680,Canterbury,Government,03 9836 0555 ,1264
Secondary,3126,Canterbury Girls Secondary College ,16 Mangarra Road ,O,CANTERBURY,VIC,3126,21110,Boroondara (C),16 Mangarra Road ,VIC,7690,Canterbury,Government,03 9830 5099 ,1265
Secondary,3031,Mount Alexander 7-12 College,167-175 Mt Alexander Road,O,FLEMINGTON,VIC,3031,25060,Moonee Valley (C),167-175 Mt Alexander Road,VIC,7763,Flemington,Government,03 9376 1622 ,1272
Secondary,3184,Elwood College,101 Glenhuntly Road,O,ELWOOD ,VIC,3184,25900,Port Phillip (C) ,101 Glenhuntly Road,VIC,7810,Elwood ,Government,03 9531 9566 ,1280
Secondary,3011,Gilmore College For Girls,P O Box 2021 ,O,FOOTSCRAY,VIC,3011,24330,Maribyrnong (C),298 Barkly Street,VIC,7841,Footscray,Government,03 9689 4788 ,1285
Secondary,3204,Mckinnon Secondary College ,McKinnon Road,O,MCKINNON ,VIC,3204,22310,Glen Eira (C),291a Mckinnon Road,VIC,8125,Mckinnon ,Government,03 8520 9000 ,1328
Secondary,3004,MacRobertson Girls High School ,350-370 Kings Way,O,MELBOURNE,VIC,3004,25900,Port Phillip (C) ,350-370 Kings Way,VIC,8135,Melbourne,Government,03 9820 0788 ,1329
Secondary,3070,Northcote High School,St Georges Road,O,NORTHCOTE,VIC,3070,21890,Darebin (C),St Georges Road,VIC,8180,Northcote,Government,03 9488 2300 ,1333
Secondary,3044,Pascoe Vale Girls Secondary College,Lake Avenue,O,PASCOE VALE,VIC,3044,25250,Moreland (C) ,Lake Avenue,VIC,8227,Pascoe Vale,Government,03 9306 2544 ,1341
Secondary,3161,Caulfield Park Community School,319 Balaclava Road,O,CAULFIELD NORTH,VIC,3161,22310,Glen Eira (C),319 Balaclava Road,VIC,8337,Caulfield North,Government,03 9563 5644 ,1355
Secondary,3056,Sydney Road Community School,P O BOX 292,O,BRUNSWICK,VIC,3056,25250,Moreland (C) ,350 Sydney Road,VIC,8368,Brunswick,Government,03 9380 9417 ,1358
Secondary,3052,University High School,77 Story Street,O,PARKVILLE,VIC,3052,24600,Melbourne (C),77 Story Street,VIC,8405,Parkville,Government,03 9347 2022 ,1362
Secondary,3016,Williamstown High School ,Pasco Street ,O,WILLIAMSTOWN ,VIC,3016,23110,Hobsons Bay (C),Pasco Street ,VIC,8475,Williamstown ,Government,03 9397 1899 ,1379
Secondary,3145,Glen Eira College,76 Booran Road,O,CAULFIELD EAST,VIC,3145,22310,Glen Eira (C),76 Booran Road,VIC,8704,Caulfield East,Government,03 9571 7838 ,1383
Secondary,3073,Reservoir High School,855 Plenty Road,O,RESERVOIR,VIC,3073,21890,Darebin (C),855 Plenty Road,VIC,8708,Reservoir,Government,03 9470 3555 ,1386
Pri/Sec,3146,Korowa Anglican Girls' School,Ranfurlie Crescent,O,GLEN IRIS,VIC,3146,26350,Stonnington (C),Ranfurlie Crescent,VIC,5,GLEN IRIS,Independent,03 9885 0336 ,1519
Secondary,3003,Simonds Catholic College ,273 Victoria Street,O,WEST MELBOURNE,VIC,3003,24600,Melbourne (C),273 Victoria Street,VIC,25,MELBOURNE WEST,Catholic ,03 9329 7699 ,1521
Secondary,3183,Christian Brothers' College,PO Box 258,O,ST KILDA EAST,VIC,3182,25900,Port Phillip (C) ,11 Westbury Street,VIC,26,ST KILDA EAST,Catholic ,03 9529 6611 ,1522
Secondary,3191,Sandringham College,11 Holloway Road ,O,SANDRINGHAM,VIC,3191,20910,Bayside (C),11 Holloway Road ,VIC,8739,Sandringham,Government,03 8599 0500 ,1401
Secondary,3068,Fitzroy High School,Falconer Street,O,FITZROY NORTH,VIC,3068,27350,Yarra (C),Falconer Street,VIC,8742,Fitzroy North,Government,03 9488 1900 ,1402
Language ,3066,Collingwood English Language School,19 Cambridge Street,O,COLLINGWOOD,VIC,3066,27350,Yarra (C),19 Cambridge Street,VIC,8748,Collingwood,Government,03 9419 7633 ,1408
Pri/Sec,3016,Bayside P-12 College ,P O Box 515,O,ALTONA NORTH ,VIC,3025,23110,Hobsons Bay (C),29-69 Kororoit Creek Road,VIC,8800,Williamstown ,Government,03 9393 5800 ,1421
Secondary,3056,Brunswick Secondary College,47 Dawson Street ,O,BRUNSWICK,VIC,3056,25250,Moreland (C) ,47 Dawson Street ,VIC,8807,Brunswick,Government,03 9387 6133 ,1427
Secondary,3121,Melbourne Girls College,Yarra Boulevard,O,RICHMOND ,VIC,3121,27350,Yarra (C),Yarra Boulevard,VIC,8819,Richmond ,Government,03 9428 8955 ,1437
Secondary,3011,Footscray City College,Kinnear Street,O,FOOTSCRAY,VIC,3011,24330,Maribyrnong (C),Kinnear Street,VIC,8836,Footscray,Government,03 8387 1500 ,1450
Secondary,3058,Coburg Senior High School,P O Box 162,O,Coburg ,VIC,3058,25250,Moreland (C) ,Alva Grove,VIC,8849,Coburg ,Government,03 9353 1700 ,1460
Pri/Sec,3018,Altona P-9 College,Private Bag 9,O,Altona ,VIC,3018,23110,Hobsons Bay (C),103 A Grieve Parade,VIC,8857,Altona ,Government,03 9250 8050 ,1466
Primary,3046,Glenroy Central Primary School ,10 Logan St,O,Glenroy,VIC,3046,25250,Moreland (C) ,10 Logan Street,VIC,5542,Glenroy,Government,03 9306 4144 ,1493
Pri/Sec,3004,Melbourne Grammar School ,Domain Road,O,MELBOURNE,VIC,3004,24600,Melbourne (C),Domain Road,VIC,2072,MELBOURNE,Independent,03 9865 7555 ,1506
Primary,3046,Glenroy Private Ltd,163 - 165 Glenroy Road,O,GLENROY,VIC,3046,25250,Moreland (C) ,163 - 165 Glenroy Road,VIC,2080,GLENROY,Independent,03 9077 8205 ,1510
Primary,3186,Divrei Emineh,P O Box 1162 ,O,ELSTERNWICK,VIC,3185,20910,Bayside (C),453 New Street,VIC,2083,BRIGHTON ,Independent,03 9530 8777 ,1514
Pri/Sec,3004,Wesley College,577 St Kilda Road,O,MELBOURNE,VIC,3004,24600,Melbourne (C),577 St Kilda Road,VIC,1,MELBOURNE,Independent,03 8102 6888 ,1515
Secondary,3206,Albert Park College,83 Danks Street,O,Albert Park,VIC,3206,25900,Port Phillip (C) ,83 Danks Street,VIC,8889,Albert Park,Government,03 8695 9000 ,1517
Primary,3015,Sacred Heart School,4 Newcastle Street,O,NEWPORT,VIC,3015,23110,Hobsons Bay (C),4 Newcastle Street,VIC,77,NEWPORT,Catholic ,03 9391 6262 ,1529
Primary,3016,St Mary's School ,PO Box 283,O,WILLIAMSTOWN ,VIC,3016,23110,Hobsons Bay (C),118 Cecil Street ,VIC,78,WILLIAMSTOWN ,Catholic ,03 9397 7926 ,1530
Pri/Sec,3101,Ruyton Girls' School ,12 Selbourne Road,O,KEW,VIC,3101,21110,Boroondara (C),12 Selbourne Road,VIC,83,KEW,Independent,03 9819 2422 ,1531
Pri/Sec,3183,Caulfield Grammar School ,PO Box 610,O,ELSTERNWICK,VIC,3185,22310,Glen Eira (C),217 Glen Eira Road,VIC,96,ST KILDA EAST,Independent,03 9524 6300 ,1532
Primary,3051,St Michael's School,8-14 Brougham Street ,O,NORTH MELBOURNE,VIC,3051,24600,Melbourne (C),8-14 Brougham Street ,VIC,98,MELBOURNE NORTH,Catholic ,03 9329 9206 ,1533
Secondary,3181,Presentation College Windsor,187 Dandenong Road,O,WINDSOR,VIC,3181,26350,Stonnington (C),187 Dandenong Road,VIC,106,WINDSOR,Catholic ,03 8517 2777 ,1535
Primary,3183,St Mary's School ,214 Dandenong Road,O,ST KILDA EAST,VIC,3183,25900,Port Phillip (C) ,214 Dandenong Road,VIC,107,ST KILDA EAST,Catholic ,03 9510 7420 ,1536
Primary,3031,St Brendan's School,103 Wellington Street,O,FLEMINGTON,VIC,3031,25060,Moonee Valley (C),103 Wellington Street,VIC,113,FLEMINGTON,Catholic ,03 9376 0249 ,1538
Pri/Sec,3146,Sacre Coeur,172 Burke Road,O,GLEN IRIS,VIC,3146,26350,Stonnington (C),172 Burke Road,VIC,149,GLEN IRIS,Catholic ,03 9885 4501 ,1545
Primary,3070,St Joseph's School,39 James Street,O,NORTHCOTE,VIC,3070,21890,Darebin (C),39 James Street,VIC,151,NORTHCOTE,Catholic ,03 9481 7166 ,1546
Secondary,3186,Star of the Sea College,PO Box 7001 Gardenvale LPO ,O,BRIGHTON ,VIC,3186,20910,Bayside (C),80 Martin Street ,VIC,250,BRIGHTON ,Catholic ,03 9596 6099 ,1567
Primary,3186,St James' School ,6 St James Close ,O,BRIGHTON ,VIC,3186,20910,Bayside (C),6 St James Close ,VIC,251,BRIGHTON ,Catholic ,03 9596 4766 ,1568
Primary,3165,St Peter's School,842 Centre Road,O,BENTLEIGH EAST,VIC,3165,22310,Glen Eira (C),842 Centre Road,VIC,252,BENTLEIGH EAST,Catholic ,03 9579 5068 ,1569
Pri/Sec,3101,Methodist Ladies' College,207 Barkers Road ,O,KEW,VIC,3101,21110,Boroondara (C),207 Barkers Road ,VIC,259,KEW,Independent,03 9274 6333 ,1570
Primary,3141,Christ Church Grammar School,PO Box 392,O,SOUTH YARRA,VIC,3141,24600,Melbourne (C),677 Punt Road,VIC,330,SOUTH YARRA,Independent,03 9866 3540 ,1579
Primary,3058,St Paul's School ,562 Sydney Road,O,COBURG ,VIC,3058,25250,Moreland (C) ,562 Sydney Road,VIC,336,COBURG ,Catholic ,03 9354 8970 ,1580
Pri/Sec,3103,Fintona Girls' School,79 Balwyn Road,O,BALWYN ,VIC,3103,21110,Boroondara (C),79 Balwyn Road,VIC,385,BALWYN ,Independent,03 9830 1388 ,1588
Pri/Sec,3143,Lauriston Girls' School,PO Box 8110,O,ARMADALE ,VIC,3143,26350,Stonnington (C),38 Huntingtower Road ,VIC,391,ARMADALE ,Independent,03 9864 7555 ,1590
Pri/Sec,3101,Xavier College,135 Barkers Road ,O,KEW,VIC,3101,21110,Boroondara (C),135 Barkers Road ,VIC,404,KEW,Catholic ,03 9854 5411 ,1592
Pri/Sec,3101,Trinity Grammar School Kew ,40 Charles Street,O,KEW,VIC,3101,21110,Boroondara (C),40 Charles Street,VIC,457,KEW,Independent,03 9854 3600 ,1599
Secondary,3065,Academy of Mary Immaculate ,88 Nicholson Street,O,FITZROY,VIC,3065,27350,Yarra (C),88 Nicholson Street,VIC,467,FITZROY,Catholic ,03 9419 3044 ,1600
Primary,3065,Sacred Heart School,107 King William Street,O,FITZROY,VIC,3065,27350,Yarra (C),107 King William Street,VIC,468,FITZROY,Catholic ,03 9419 3528 ,1601
Primary,3011,St Monica's School,2 Wingfield Street,O,FOOTSCRAY,VIC,3011,24330,Maribyrnong (C),2 Wingfield Street,VIC,477,FOOTSCRAY,Catholic ,03 9689 4548 ,1603
Primary,3013,St Augustine's School,65 Somerville Road,O,YARRAVILLE,VIC,3013,24330,Maribyrnong (C),65 Somerville Road,VIC,478,YARRAVILLE,Catholic ,03 9314 5996 ,1604
Pri/Sec,3141,Melbourne Girls Grammar,86 Anderson Street,O,SOUTH YARRA,VIC,3141,24600,Melbourne (C),86 Anderson Street,VIC,509,SOUTH YARRA,Independent,03 9862 9200 ,1610
Primary,3068,St John's School ,77 Queens Parade ,O,CLIFTON HILL ,VIC,3068,27350,Yarra (C),77 Queens Parade ,VIC,524,CLIFTON HILL ,Catholic ,03 9489 1346 ,1614
Primary,3039,St Monica's Primary School ,20 Robinson Street,O,MOONEE PONDS ,VIC,3039,25060,Moonee Valley (C),20 Robinson Street,VIC,566,MOONEE PONDS ,Catholic ,03 9375 1132 ,1622
Primary,3066,St Joseph's School,46 Otter Street,O,COLLINGWOOD,VIC,3066,27350,Yarra (C),46 Otter Street,VIC,579,COLLINGWOOD,Catholic ,03 9419 4918 ,1625
Primary,3101,Sacred Heart School,PO Box 3221 Cotham Licensed Post Office,O,KEW,VIC,3101,21110,Boroondara (C),116 Cotham Road,VIC,590,KEW,Catholic ,03 9853 5859 ,1627
Secondary,3051,St Aloysius College,PO Box 2072 Hotham Hill PO ,O,NORTH MELBOURNE,VIC,3051,24600,Melbourne (C),31 Curran Street ,VIC,605,MELBOURNE NORTH,Catholic ,03 9329 0411 ,1632
Secondary,3040,St Columba's College ,PO Box 89,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),2 Leslie Road,VIC,707,ESSENDON ,Catholic ,03 9337 5311 ,1642
Pri/Sec,3101,Genazzano FCJ College,301 Cotham Road,O,KEW,VIC,3101,21110,Boroondara (C),301 Cotham Road,VIC,733,KEW,Catholic ,03 8862 1000 ,1646
Pri/Sec,3182,St Michael's Grammar School,25 Chapel Street ,O,ST KILDA ,VIC,3182,25900,Port Phillip (C) ,25 Chapel Street ,VIC,818,ST KILDA ,Independent,03 8530 3200 ,1649
Pri/Sec,3186,Firbank Grammar School,51 Outer Crescent,O,BRIGHTON ,VIC,3186,20910,Bayside (C),51 Outer Crescent,VIC,879,BRIGHTON ,Independent,03 9591 5188 ,1654
Primary,3055,St Joseph's School,185 Hope Street,O,BRUNSWICK WEST,VIC,3055,25250,Moreland (C) ,185 Hope Street,VIC,915,BRUNSWICK WEST,Catholic ,03 9380 9733 ,1657
Primary,3057,Our Lady Help of Christians School ,26 Miller Street ,O,BRUNSWICK EAST,VIC,3057,25250,Moreland (C) ,26 Miller Street ,VIC,931,BRUNSWICK EAST,Catholic ,03 9380 5050 ,1661
Primary,3163,St Anthony's School,Cnr Neerim and Grange Roads,O,GLEN HUNTLY,VIC,3163,22310,Glen Eira (C),Cnr Neerim and Grange Roads,VIC,932,GLEN HUNTLY,Catholic ,03 9563 6780 ,1662
Primary,3191,Sacred Heart School,11 Fernhill Road ,O,SANDRINGHAM,VIC,3191,20910,Bayside (C),11 Fernhill Road ,VIC,937,SANDRINGHAM,Catholic ,03 9598 9322 ,1664
Primary,3032,St Mary's School ,74 Roseberry Street,O,ASCOT VALE,VIC,3032,25060,Moonee Valley (C),74 Roseberry Street,VIC,954,ASCOT VALE,Catholic ,03 9370 1194 ,1666
Pri/Sec,3144,De La Salle College,1318 High Street ,O,MALVERN,VIC,3144,26350,Stonnington (C),1318 High Street ,VIC,956,MALVERN,Catholic ,03 9508 2100 ,1668
Primary,3015,Westbourne Grammar School,PO Box 37,O,WERRIBEE ,VIC,3030,23110,Hobsons Bay (C),67 The Strand,VIC,1003,NEWPORT,Independent,03 9731 9555 ,1674
Primary,3145,St Mary's School ,91 Manning Road,O,MALVERN EAST ,VIC,3145,26350,Stonnington (C),91 Manning Road,VIC,1024,MALVERN EAST ,Catholic ,03 9571 1358 ,1679
Pri/Sec,3187,St Leonard's College ,163 South Rd ,O,BRIGHTON EAST,VIC,3187,20910,Bayside (C),163 South Rd ,VIC,1025,BRIGHTON EAST,Independent,03 9909 9300 ,1680
Primary,3031,Holy Rosary School,PO Box 1192,O,KENSINGTON,VIC,3031,24600,Melbourne (C),37 Gower Street,VIC,1033,KENSINGTON,Catholic ,03 9376 9455 ,1681
Primary,3144,St Joseph's School,49 Stanhope Street,O,MALVERN,VIC,3144,26350,Stonnington (C),49 Stanhope Street,VIC,1045,MALVERN,Catholic ,03 9509 3092 ,1684
Primary,3184,St Columba's School,24 Glenhuntly Road,O,ELWOOD ,VIC,3184,25900,Port Phillip (C) ,24 Glenhuntly Road,VIC,1070,ELWOOD ,Catholic ,03 9531 6560 ,1687
Pri/Sec,3040,Lowther Hall Anglican Grammar School,PO Box 178,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),17 Leslie Road,VIC,1117,ESSENDON ,Independent,03 9325 5000 ,1698
Primary,3161,St Aloysius' School,Cromwell Street,O,CAULFIELD,VIC,3161,22310,Glen Eira (C),Cromwell Street,VIC,1130,CAULFIELD,Catholic ,03 9532 9416 ,1700
Primary,3186,St Joan of Arc School,30 Dendy Street,O,BRIGHTON ,VIC,3186,20910,Bayside (C),30 Dendy Street,VIC,1134,BRIGHTON ,Catholic ,03 9592 3840 ,1701
Primary,3011,St John's School ,34 Essex Street,O,FOOTSCRAY,VIC,3011,24330,Maribyrnong (C),34 Essex Street,VIC,1146,FOOTSCRAY,Catholic ,03 9687 3150 ,1704
Pri/Sec,3161,Shelford Girls' Grammar,3 Hood Crescent,O,CAULFIELD,VIC,3161,22310,Glen Eira (C),3 Hood Crescent,VIC,1163,CAULFIELD,Independent,03 9524 7333 ,1706
Pri/Sec,3101,Carey Baptist Grammar School,349 Barkers Road ,O,KEW,VIC,3101,21110,Boroondara (C),349 Barkers Road ,VIC,1189,KEW,Independent,03 9816 1222 ,1714
Pri/Sec,3204,Kilvington Grammar School,PO Box 144,O,ORMOND ,VIC,3204,22310,Glen Eira (C),2 Leila Road ,VIC,1190,ORMOND ,Independent,03 9578 6231 ,1715
Primary,3040,St Therese's School,25-31 Edward Street,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),25-31 Edward Street,VIC,1193,ESSENDON ,Catholic ,03 9379 8748 ,1717
Primary,3103,Our Lady of Good Counsel School,52 Deepdene Road ,O,DEEPDENE ,VIC,3103,21110,Boroondara (C),52 Deepdene Road ,VIC,1206,DEEPDENE ,Catholic ,03 9817 5251 ,1719
Pri/Sec,3126,Strathcona Baptist Girls' Grammar,34 Scott Street,O,CANTERBURY,VIC,3126,21110,Boroondara (C),34 Scott Street,VIC,1209,CANTERBURY,Independent,03 8779 7500 ,1720
Primary,3204,St Kevin's School,76 Glen Orme Avenue,O,ORMOND ,VIC,3204,22310,Glen Eira (C),Glen Orme Avenue ,VIC,1212,ORMOND ,Catholic ,03 9578 1182 ,1721
Primary,3187,St Finbar's School,90 Centre Road,O,BRIGHTON EAST,VIC,3187,20910,Bayside (C),90 Centre Road,VIC,1221,BRIGHTON EAST,Catholic ,03 9592 4479 ,1725
Primary,3188,St Mary's School ,59 Holyrood Street,O,HAMPTON,VIC,3188,20910,Bayside (C),59 Holyrood Street,VIC,1231,HAMPTON,Catholic ,03 9521 9335 ,1728
Pri/Sec,3126,Camberwell Grammar School,PO Box 151,O,BALWYN ,VIC,3103,21110,Boroondara (C),55 Mont Albert Road,VIC,1258,CANTERBURY,Independent,03 9835 1777 ,1731
Pri/Sec,3186,Brighton Grammar School,90 Outer Crescent,O,BRIGHTON ,VIC,3186,20910,Bayside (C),90 Outer Crescent,VIC,1262,BRIGHTON ,Independent,03 8591 2200 ,1733
Primary,3018,St Mary's School ,PO Box 63,O,ALTONA ,VIC,3018,23110,Hobsons Bay (C),95A Railway Street,VIC,1273,ALTONA ,Catholic ,03 9398 4842 ,1737
Primary,3073,St Gabriel's School,237 Spring Street,O,RESERVOIR,VIC,3073,21890,Darebin (C),237 Spring Street,VIC,1289,RESERVOIR,Catholic ,03 9469 3513 ,1742
Primary,3204,St Paul's School ,122 Jasper Road,O,BENTLEIGH,VIC,3204,22310,Glen Eira (C),122 Jasper Road,VIC,1291,BENTLEIGH,Catholic ,03 9557 7130 ,1743
Primary,3193,St Joseph's School,544 Balcombe Road,O,BLACK ROCK,VIC,3193,20910,Bayside (C),544 Balcombe Road,VIC,1292,BLACK ROCK,Catholic ,03 9589 4685 ,1744
Primary,3163,St Patrick's School,3 Dalny Road ,O,MURRUMBEENA,VIC,3163,22310,Glen Eira (C),3 Dalny Road ,VIC,1310,MURRUMBEENA,Catholic ,03 9569 7487 ,1749
Primary,3146,St Roch's School ,Glenvale Road,O,GLEN IRIS,VIC,3146,26350,Stonnington (C),Glenvale Road,VIC,1311,GLEN IRIS,Catholic ,03 9885 7704 ,1750
Pri/Sec,3126,Camberwell Girls Grammar School,2 Torrington Street,O,CANTERBURY,VIC,3126,21110,Boroondara (C),2 Torrington Street,VIC,1322,CANTERBURY,Independent,03 9813 1166 ,1753
Primary,3102,St Anne's School ,7-19 Beresford Street,O,KEW EAST ,VIC,3102,21110,Boroondara (C),7-19 Beresford Street,VIC,1328,KEW EAST ,Catholic ,03 9859 4116 ,1754
Primary,3146,St Cecilia's School,4 Van Ness Avenue,O,GLEN IRIS,VIC,3146,21110,Boroondara (C),4 Van Ness Avenue,VIC,1354,GLEN IRIS,Catholic ,03 9809 2142 ,1758
Primary,3185,St Joseph's School,PO Box 511,O,ELSTERNWICK,VIC,3185,22310,Glen Eira (C),28 Sandham Street,VIC,1368,ELSTERNWICK,Catholic ,03 9528 1614 ,1759
Pri/Sec,3101,Preshil The Margaret Lyttle Memorial School,P.O. Box 252 ,O,BALWYN ,VIC,3103,21110,Boroondara (C),395 Barkers Road ,VIC,1377,KEW,Independent,03 9817 6135 ,1761
Secondary,3070,Santa Maria College,PO Box 679,O,NORTHCOTE,VIC,3070,21890,Darebin (C),50 Separation Street ,VIC,1386,NORTHCOTE,Catholic ,03 9489 7644 ,1763
Primary,3060,St Mark's School ,Argyle Street,O,FAWKNER,VIC,3060,25250,Moreland (C) ,Argyle Street,VIC,1398,FAWKNER,Catholic ,03 9359 6463 ,1765
Primary,3073,Holy Name School ,12 Robb Street,O,RESERVOIR,VIC,3073,21890,Darebin (C),12 Robb Street,VIC,1438,RESERVOIR,Catholic ,03 9471 0883 ,1776
Secondary,3000,Taylors Senior College,399 Lonsdale Street,O,MELBOURNE,VIC,3000,24600,Melbourne (C),399 Lonsdale Street,VIC,1441,MELBOURNE,Independent,03 9935 7900 ,1777
Secondary,3124,Siena College Ltd,815 Riversdale Road,O,CAMBERWELL,VIC,3124,21110,Boroondara (C),815 Riversdale Road,VIC,1445,CAMBERWELL,Catholic ,03 9835 0200 ,1778
Primary,3058,St Bernard's School,36 Patterson Street,O,COBURG EAST,VIC,3058,25250,Moreland (C) ,36 Patterson Street,VIC,1459,COBURG EAST,Catholic ,03 9383 1219 ,1779
Primary,3044,St Oliver Plunkett's School,PO Box 667,O,PASCOE VALE,VIC,3044,25250,Moreland (C) ,1-39 Landells Road,VIC,1465,PASCOE VALE,Catholic ,03 9354 5411 ,1781
Primary,3012,Corpus Christi School,380 Geelong Road ,O,KINGSVILLE,VIC,3012,24330,Maribyrnong (C),380 Geelong Road ,VIC,1466,KINGSVILLE,Catholic ,03 9314 7303 ,1782
Secondary,3040,St Bernard's College ,41 Rosehill Road ,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),41 Rosehill Road ,VIC,1471,ESSENDON ,Catholic ,03 9289 1000 ,1784
Primary,3147,St Michael's School,268 High Street,O,ASHBURTON,VIC,3147,21110,Boroondara (C),268 High Street,VIC,1477,ASHBURTON,Catholic ,03 9885 3105 ,1786
Secondary,3204,Our Lady of the Sacred Heart College,111 Jasper Road,O,BENTLEIGH,VIC,3204,22310,Glen Eira (C),111 Jasper Road,VIC,1481,BENTLEIGH,Catholic ,03 9563 9522 ,1788
Primary,3104,St Bede's School ,2 Marwal Avenue,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),2 Marwal Avenue,VIC,1482,BALWYN NORTH ,Catholic ,03 8851 4651 ,1789
Primary,3040,Resurrection House,6 Aberfeldie Street,O,ESSENDON ,VIC,3040,25060,Moonee Valley (C),6 Aberfeldie Street,VIC,1513,ESSENDON ,Catholic ,03 9337 0084 ,1808
Pri/Sec,3185,Adass Israel School,PO Box 23,O,ELSTERNWICK,VIC,3185,22310,Glen Eira (C),10-12 King Street,VIC,1515,ELSTERNWICK,Independent,03 9523 6422 ,1809
Special,3188,Larmenier,453 Bluff Road,O,HAMPTON,VIC,3188,20910,Bayside (C),453 Bluff Road,VIC,1519,HAMPTON,Catholic ,03 9521 8511 ,1811
Primary,3068,Fitzroy Community School ,597-599 Brunswick Street ,O,FITZROY NORTH,VIC,3068,27350,Yarra (C),597-599 Brunswick Street ,VIC,1819,FITZROY NORTH,Independent,03 9489 5700 ,2021
Primary,3028,Queen of Peace Primary School,PO Box 1259,O,ALTONA MEADOWS,VIC,3028,23110,Hobsons Bay (C),62 Everingham Road,VIC,1831,ALTONA MEADOWS,Catholic ,03 9369 2581 ,2031
Special,3101,Andale School,PO Box 2483,O,KEW,VIC,3101,21110,Boroondara (C),84 Charles Street,VIC,1838,KEW,Independent,03 9853 3911 ,2038
Primary,3015,St Margaret Mary's School,181 Hudsons Road ,O,SPOTSWOOD,VIC,3015,23110,Hobsons Bay (C),181 Hudsons Road ,VIC,1527,SPOTSWOOD,Catholic ,03 9391 3118 ,1818
Pri/Sec,3183,Yeshivah College ,88 Hotham Street ,O,ST KILDA EAST,VIC,3183,22310,Glen Eira (C),88 Hotham Street ,VIC,1533,ST KILDA EAST,Independent,03 9522 8222 ,1824
Primary,3042,St John Bosco's School,29 Muriel Street ,O,NIDDRIE,VIC,3042,25060,Moonee Valley (C),6 Teague Street,VIC,1534,NIDDRIE,Catholic ,03 9337 2314 ,1825
Primary,3046,Corpus Christi School,13-21 Widford Street ,O,GLENROY,VIC,3046,25250,Moreland (C) ,13-21 Widford Street ,VIC,1545,GLENROY,Catholic ,03 9306 3062 ,1832
Primary,3193,Stella Maris School,113 Oak Street,O,BEAUMARIS,VIC,3193,20910,Bayside (C),113 Oak Street,VIC,1554,BEAUMARIS,Catholic ,03 9589 2641 ,1837
Pri/Sec,3183,Beth Rivkah Ladies College ,14-20 Balaclava Road ,O,ST KILDA EAST,VIC,3183,22310,Glen Eira (C),14-20 Balaclava Road ,VIC,1561,ST KILDA EAST,Independent,03 9522 8227 ,1843
Primary,3032,St Margaret's Primary School,67 The Esplanade ,O,MARIBYRNONG,VIC,3032,24330,Maribyrnong (C),67 The Esplanade ,VIC,1563,MARIBYRNONG,Catholic ,03 9318 1339 ,1844
Secondary,3166,Sacred Heart Girls' College,PO Box 228,O,OAKLEIGH ,VIC,3166,24970,Monash (C),113 Warrigal Road,VIC,1571,HUGHESDALE,Catholic ,03 9568 5488 ,1851
Primary,3040,Our Lady of the Nativity School,29 Fawkner Street,O,ABERFELDIE,VIC,3040,25060,Moonee Valley (C),29 Fawkner Street,VIC,1585,ABERFELDIE,Catholic ,03 9337 4204 ,1861
Primary,3104,St Bridget's School,36 Sweyn Street,O,BALWYN NORTH ,VIC,3104,21110,Boroondara (C),36 Sweyn Street,VIC,1595,BALWYN NORTH ,Catholic ,03 9857 6394 ,1869
Pri/Sec,3185,Leibler Yavneh College,PO Box 164,O,CAULFIELD SOUTH,VIC,3162,22310,Glen Eira (C),2 Nagle Avenue,VIC,1609,ELSTERNWICK,Independent,03 9528 4911 ,1878
Primary,3046,St Francis de Sales School ,PO Box 2109,O,OAK PARK ,VIC,3046,25250,Moreland (C) ,626 Pascoe Vale Road ,VIC,1616,OAK PARK ,Catholic ,03 9306 9444 ,1883
Primary,3042,St Christopher's School,34 Roberts Road,O,AIRPORT WEST ,VIC,3042,25060,Moonee Valley (C),34 Roberts Road,VIC,1620,AIRPORT WEST ,Catholic ,03 9338 3591 ,1887
Secondary,3040,Ave Maria College,14-22 Vida Street,O,ABERFELDIE,VIC,3040,25060,Moonee Valley (C),14-22 Vida Street,VIC,1625,ABERFELDIE,Catholic ,03 9337 1666 ,1891
Primary,3083,Our Lady of the Way School ,PO Box 159,O,KINGSBURY,VIC,3083,21890,Darebin (C),11-13 Green Avenue,VIC,1627,KINGSBURY,Catholic ,03 9460 6684 ,1893
